site,colony,Total,WAX,TAG,Phospholip
Cheeca Rocks,51,0.021212121,2.743825834,0,6.424613547
Cheeca Rocks,D3,0.015555556,3.32710102,1.888329498,2.872543517
Cheeca Rocks,D2,0.05,3.734218517,1.096634666,1.96069417
Cheeca Rocks,32,0.038888889,3.117515303,0.786192741,1.566074306
Cheeca Rocks,U2,0.045238095,3.236184363,0,4.764917375
Horseshoe Reef,38,0.084090909,3.637821134,0,6.898091662
Horseshoe Reef,58,0.075,4.375540506,3.517951964,12.98817937
Horseshoe Reef,79,0.081578947,4.465334215,0,7.140407623
Horseshoe Reef,53Y,0.044827586,7.321077514,0.68208923,7.49418695
Horseshoe Reef,77,0.011428571,3.664740761,2.102683933,4.120553748