Samples,Type,DevDay,Trmt,Year
MS_Crs_B1_Ctrl_aR2,Cross,Day4,Ctrl,2019
MS_Crs_B1_Ctrl_aR3,Cross,Day4,Ctrl,2019
MS_Crs_B1_Heat_aR2,Cross,Day4,Heat,2019
MS_Crs_B1_Heat_aR3,Cross,Day4,Heat,2019
MS_Crs_B2_Ctrl_aR2,Cross,Day4,Ctrl,2019
MS_Crs_B2_Ctrl_aR3,Cross,Day4,Ctrl,2019
MS_Crs_B2_Ctrl_aR5,Cross,Day4,Ctrl,2019
MS_Crs_B2_Heat_aR2,Cross,Day4,Heat,2019
MS_Crs_B3_Ctrl_aR3,Cross,Day4,Ctrl,2019
MS_Crs_B3_Ctrl_aR5,Cross,Day4,Ctrl,2019
MS_Crs_B3_Heat_aR1,Cross,Day4,Heat,2019
MS_Crs_B3_Heat_aR3,Cross,Day4,Heat,2019
MS_In_B1_Ctrl_aR1,Inshore,Day4,Ctrl,2019
MS_In_B1_Ctrl_aR4,Inshore,Day4,Ctrl,2019
MS_In_B1_Ctrl_aR5,Inshore,Day4,Ctrl,2019
MS_In_B1_Heat_aR2,Inshore,Day4,Heat,2019
MS_In_B1_Heat_aR3,Inshore,Day4,Heat,2019
MS_In_B1_Heat_aR5,Inshore,Day4,Heat,2019
MS_In_B2_Ctrl_aR2,Inshore,Day4,Ctrl,2019
MS_In_B2_Ctrl_aR3,Inshore,Day4,Ctrl,2019
MS_In_B2_Ctrl_aR5,Inshore,Day4,Ctrl,2019
MS_In_B2_Heat_aR2,Inshore,Day4,Heat,2019
MS_In_B2_Heat_aR5,Inshore,Day4,Heat,2019
MS_In_B3_Ctrl_aR2,Inshore,Day4,Ctrl,2019
MS_In_B3_Ctrl_aR4,Inshore,Day4,Ctrl,2019
MS_In_B3_Ctrl_aR5,Inshore,Day4,Ctrl,2019
MS_In_B3_Heat_aR2,Inshore,Day4,Heat,2019
MS_In_B3_Heat_aR4,Inshore,Day4,Heat,2019
MS_In_B3_Heat_aR5,Inshore,Day4,Heat,2019
MS_Off_B1_Ctrl_aR2,Offshore,Day4,Ctrl,2019
MS_Off_B1_Ctrl_aR4,Offshore,Day4,Ctrl,2019
MS_Off_B1_Heat_aR4,Offshore,Day4,Heat,2019
MS_Off_B1_Heat_aR5,Offshore,Day4,Heat,2019
MS_Off_B2_Ctrl_aR2,Offshore,Day4,Ctrl,2019
MS_Off_B2_Ctrl_aR4,Offshore,Day4,Ctrl,2019
MS_Off_B2_Ctrl_aR5,Offshore,Day4,Ctrl,2019
MS_Off_B2_Ctrl_aR6,Offshore,Day4,Ctrl,2019
MS_Off_B2_Heat_aR2,Offshore,Day4,Heat,2019
MS_Off_B2_Heat_aR3,Offshore,Day4,Heat,2019
MS_Off_B2_Heat_aR5,Offshore,Day4,Heat,2019
MS_Off_B3_Ctrl_aR2,Offshore,Day4,Ctrl,2019
MS_Off_B3_Ctrl_aR3,Offshore,Day4,Ctrl,2019
MS_Off_B3_Ctrl_aR5,Offshore,Day4,Ctrl,2019
MS_Off_B3_Heat_aR1,Offshore,Day4,Heat,2019
MS_Off_B3_Heat_aR3,Offshore,Day4,Heat,2019
MS_Off_B3_Heat_aR5,Offshore,Day4,Heat,2019
YZ-10,Cross,Day12,Heat,2021
YZ-11,Offshore,Day12,Heat,2021
YZ-12,Offshore,Day12,Ctrl,2021
YZ-13,Offshore,Day12,Heat,2021
YZ-14,Cross,Day12,Heat,2021
YZ-15,Offshore,Day12,Ctrl,2021
YZ-16,Offshore,Day12,Ctrl,2021
YZ-17,Cross,Day12,Ctrl,2021
YZ-18,Offshore,Day12,Ctrl,2021
YZ-19,Offshore,Day12,Heat,2021
YZ-20,Cross,Day12,Ctrl,2021
YZ-21,Offshore,Day12,Heat,2021
YZ-22,Offshore,Day12,Heat,2021
YZ-23,Cross,Day12,Heat,2021
YZ-24,Cross,Day12,Ctrl,2021
YZ-25,Offshore,Day12,Ctrl,2021
YZ-26,Offshore,Day12,Ctrl,2021
YZ-27,Cross,Day12,Heat,2021
YZ-28,Offshore,Day12,Heat,2021
YZ-29,Cross,Day12,Ctrl,2021
YZ-30,Cross,Day12,Heat,2021
YZ-31,Offshore,Day12,Ctrl,2021
YZ-32,Offshore,Day12,Ctrl,2021
YZ-3,Cross,Day12,Ctrl,2021
YZ-4,Cross,Day12,Heat,2021
YZ-5,Offshore,Day12,Heat,2021
YZ-6,Offshore,Day12,Heat,2021
YZ-7,Cross,Day12,Ctrl,2021
YZ-8,Offshore,Day12,Ctrl,2021
YZ-9,Offshore,Day12,Heat,2021