,Offshore,Cross1,Cross2,Ctrl,Heat
YZ-10,0,0,1,0,1
YZ-12,1,0,0,1,0
YZ-13,1,0,0,0,1
YZ-14,0,1,0,0,1
YZ-15,1,0,0,1,0
YZ-16,1,0,0,1,0
YZ-17,0,1,0,1,0
YZ-18,1,0,0,1,0
YZ-19,1,0,0,0,1
YZ-20,0,0,1,1,0
YZ-21,1,0,0,0,1
YZ-22,1,0,0,0,1
YZ-23,0,0,1,0,1
YZ-24,0,1,0,1,0
YZ-25,1,0,0,1,0
YZ-26,1,0,0,1,0
YZ-27,0,0,1,0,1
YZ-28,1,0,0,0,1
YZ-29,0,1,0,1,0
YZ-30,0,1,0,0,1
YZ-31,1,0,0,1,0
YZ-32,1,0,0,1,0
YZ-3,0,0,1,1,0
YZ-4,0,1,0,0,1
YZ-5,1,0,0,0,1
YZ-6,1,0,0,0,1
YZ-7,0,0,1,1,0
YZ-8,1,0,0,1,0
YZ-9,1,0,0,0,1